AuditType,Human
IDENTITY_PROTECTION_QUEUE_FORCED_REMOVED,Asset removed from learning (identity) (overriding policy)
INBOUND_DETECTION_REJECTED,Inbound JIT access rejected
OUTBOUND_DETECTION_REJECTED,Outbound JIT access rejected
JIT_FALLBACK_RULE_CREATED,Inbound JIT fallback rule created
JIT_FALLBACK_RULE_REMOVED,Inbound JIT fallback rule deleted
JIT_FALLBACK_RULE_EXPIRED,Inbound JIT fallback rule expired
ROLE_CHANGED_TO_ADMIN,Admin portal role changed to admin
ROLE_CHANGED_TO_OPERATOR,Admin portal role changed to operator
ROLE_CHANGED_TO_VIEWER,Admin portal role changed to viewer
ROLE_REVOKED,Admin portal role revoked
JIT_OUTBOUND_RULE_ADDED,Outbound JIT rule created
JIT_OUTBOUND_RULE_REMOVED,Outbound JIT rule deleted
JIT_OUTBOUND_RULE_EXPIRED,Outbound JIT rule expired
PROTECTION_QUEUED_DONE,Asset learning is done (network)
PROTECTION_QUEUED_DUE_TO_POLICY_DONE,Asset learning (policy) is done (network)
MANUAL_LINUX_ASSET_CREATED,Manual Linux asset created
MANUAL_OT_ASSET_CREATED,Manual OT/IoT asset created
MANUAL_OT_ASSET_EDITED,Manual OT/IoT asset edited
PROTECTION_LEARNING_PERIOD_EXTENDED,Asset learning extended (network)
ADMIN_PORTAL_LOGON,Admin portal logon
ASSET_REMOTELY_MONITORED,Asset is monitored by Segment server
ASSET_DIRECTLY_MONITORED,Asset is monitored by Cloud connector
ASSET_NO_LONGER_DIRECTLY_MONITORED,Asset is no longer monitored by Cloud connector
PROTECTION_QUEUED_UNDONE,Asset is back to learning (network)
ASSET_MANAGER_ADDED,Asset manager added
ASSET_MANAGER_REMOVED,Asset manager removed
ASSET_MANAGER_PERMISSION_CHANGED,Asset manager permission changed
SEGMENT_SERVER_DEPLOYED,Segment server deployed
INBOUND_RULE_REJECTED,Automation engine inbound allow rule rejected
INBOUND_BLOCK_RULE_REJECTED,Automation engine inbound block rule rejected
OUTBOUND_ALLOW_RULE_REJECTED,Automation engine outbound allow rule rejected
OUTBOUND_BLOCK_RULE_REJECTED,Automation engine outbound block rule rejected
INBOUND_RULE_APPROVED,Automation engine inbound allow rule approved
INBOUND_BLOCK_RULE_APPROVED,Automation engine inbound block rule approved
OUTBOUND_ALLOW_RULE_APPROVED,Automation engine outbound allow rule approved
OUTBOUND_BLOCK_RULE_APPROVED,Automation engine outbound block rule approved
INBOUND_RULE_APPROVED_WITH_CHANGES,Automation engine inbound allow rule approved with changes
INBOUND_BLOCK_RULE_APPROVED_WITH_CHANGES,Automation engine inbound block rule approved with changes
OUTBOUND_ALLOW_RULE_APPROVED_WITH_CHANGES,Automation engine outbound allow rule approved with changes
OUTBOUND_BLOCK_RULE_APPROVED_WITH_CHANGES,Automation engine outbound block rule approved with changes
CONNECT_REGION_CREATED,Region created
CONNECT_REGION_EDITED,Region edited
CONNECT_REGION_DELETED,Region deleted
CONNECT_SESSION_LOGOUT,Connect session logout
CONNECT_SESSION_CREATED,Connect session created
CONNECT_SESSION_EXPIRED,Connect session expired
CONNECT_SESSION_REVOKED,Connect session revoked
CONNECT_SESSION_EXTENDED,Connect session extended
CONNECT_USER_ACCESS_CONFIGURATION_CREATED,Connect policy created
CONNECT_USER_ACCESS_CONFIGURATION_EDITED,Connect policy edited
CONNECT_USER_ACCESS_CONFIGURATION_DELETED,Connect policy deleted
CONNECT_SERVER_DEPLOYED,Connect server deployed
CONNECT_ASSET_CREATED,Connect asset created
PROTECTION_BLOCKED,Asset segmentation blocked (network)
IDENTITY_PROTECTION_BLOCKED,Asset segmentation blocked (identity)
RPC_PROTECTION_BLOCKED,Asset segmentation blocked (rpc)
CONNECT_SERVER_EDITED,Connect server edited
CONNECT_SERVER_DELETED,Connect server deleted
IDENTITY_PROTECTION_ADDING,Asset is being segmented (identity)
IDENTITY_PROTECTION_ADDED,Asset segmented (identity)
IDENTITY_PROTECTION_REMOVING,Asset is being unsegmented (identity)
IDENTITY_PROTECTION_REMOVED,Asset unsegmented (identity)
IDENTITY_PROTECTION_QUEUED,Asset added to learning (identity)
IDENTITY_PROTECTION_QUEUE_REMOVED,Asset removed from learning (identity)
